6,62399
65,3166
254,424
624,799
3,90242
29,3287
125,149
329,386
3,295
24,6193
87,3507
243,314
3,24831
24,2766
91,9211
236,125
3,36968
23,6395
89,9702
243,809
3,13878
20,967
75,8005
200,35
3,21499
19,9447
67,7141
173,788
3,14866
19,8172
64,6549
159,227
6,46539
47,3912
156,489
368,859
3,95321
27,6464
96,671
210,767
3,34509
23,7219
73,5017
172,677
3,2613
23,7561
75,9302
175,947
3,54245
24,525
78,9061
181,912
3,31801
22,3942
70,5196
160,639
3,22766
20,9137
65,2305
148,107
3,24863
20,2294
62,5654
140,15
