6,82324
65,5696
260,197
622,123
3,8574
29,4218
123,972
332,416
3,3675
24,3851
88,347
240,612
3,28322
25,1835
95,6197
236,761
3,30539
23,1581
91,3889
242,831
3,10523
20,6211
79,5008
200,442
3,15681
19,8211
69,1814
174,042
3,11713
19,4524
65,5923
153,74
6,36654
47,548
156,432
368,794
3,93083
27,9074
90,51
209,457
3,20875
22,7982
74,6145
176,277
3,49863
23,5696
76,7355
179,724
3,48167
24,8933
78,3277
181,906
3,25752
22,2886
70,5784
161,482
3,15692
21,0007
65,0713
155,693
3,08176
20,0668
62,2806
140,903
